林俊杰,#genre#
冻结,http://em.21dtv.com/songs/60015671.mkv
第几个100天,http://em.21dtv.com/songs/60015186.mkv
独角戏,http://em.21dtv.com/songs/60165902.mkv
豆浆油条,http://em.21dtv.com/songs/60015759.mkv
蝶恋,http://em.21dtv.com/songs/60085052.mkv
当你,http://em.21dtv.com/songs/60014544.mkv
大男人小女孩,http://em.21dtv.com/songs/60014078.mkv
点一把火炬,http://em.21dtv.com/songs/60015324.mkv
凤凰于飞,http://em.21dtv.com/songs/60150001.mkv
飞机,http://em.21dtv.com/songs/60079951.mkv
放了你,http://em.21dtv.com/songs/60091435.mkv
分手不回头,http://em.21dtv.com/songs/60100124.mkv
父子情,http://em.21dtv.com/songs/60095650.mkv
关键词,http://em.21dtv.com/songs/60117841.mkv
跟屁虫,http://em.21dtv.com/songs/60075522.mkv
故事细腻,http://em.21dtv.com/songs/60064254.mkv
感谢你的陪伴,http://em.21dtv.com/songs/60064220.mkv
挂住你,http://em.21dtv.com/songs/60075586.mkv
何必逃避,http://em.21dtv.com/songs/60091432.mkv
会读书,http://em.21dtv.com/songs/60022273.mkv
花非花,http://em.21dtv.com/songs/60021362.mkv
黑键,http://em.21dtv.com/songs/60112021.mkv
害怕,http://em.21dtv.com/songs/60019836.mkv
忽然累了,http://em.21dtv.com/songs/60091434.mkv
黑武士,http://em.21dtv.com/songs/60020574.mkv
还有你,http://em.21dtv.com/songs/60081347.mkv
会有那么一天,http://em.21dtv.com/songs/60022292.mkv
黑夜问白天,http://em.21dtv.com/songs/60150456.mkv
花之恋,http://em.21dtv.com/songs/60021555.mkv
i am,http://em.21dtv.com/songs/60002413.mkv
i do(演唱会),http://em.21dtv.com/songs/60002478.mkv
I Pray For You,http://em.21dtv.com/songs/60114622.mkv
将爱还乎你,http://em.21dtv.com/songs/60064390.mkv
记得,http://em.21dtv.com/songs/60022679.mkv
进化论,http://em.21dtv.com/songs/60024154.mkv
进化论(演唱会),http://em.21dtv.com/songs/60024153.mkv
进阶,http://em.21dtv.com/songs/60168032.mkv
简简单单,http://em.21dtv.com/songs/60023272.mkv
寄居蟹,http://em.21dtv.com/songs/60091433.mkv
距离,http://em.21dtv.com/songs/60024220.mkv
江南,http://em.21dtv.com/songs/60023343.mkv
江南(演唱会),http://em.21dtv.com/songs/60023340.mkv
将你惜命命,http://em.21dtv.com/songs/60072072.mkv
就是我,http://em.21dtv.com/songs/60024629.mkv
嘉油站,http://em.21dtv.com/songs/60023054.mkv
k-o,http://em.21dtv.com/songs/60003203.mkv
狂热情炸弹,http://em.21dtv.com/songs/60025840.mkv
靠山,http://em.21dtv.com/songs/60064432.mkv
可惜没如果,http://em.21dtv.com/songs/60106978.mkv
Lamando,http://em.21dtv.com/songs/60110303.mkv
零度的亲吻,http://em.21dtv.com/songs/60076455.mkv
Lemon Tree,http://em.21dtv.com/songs/60166501.mkv
裂缝中的阳光,http://em.21dtv.com/songs/60079952.mkv
灵魂的共鸣,http://em.21dtv.com/songs/60064483.mkv
Lights Still On,http://em.21dtv.com/songs/60158258.mkv
林俊杰-伟大的渺小,http://em.21dtv.com/songs/60154823.mkv
浪漫血液,http://em.21dtv.com/songs/60107826.mkv
love uu,http://em.21dtv.com/songs/60073560.mkv
love u u,http://em.21dtv.com/songs/60062650.mkv
狼人情话,http://em.21dtv.com/songs/60105294.mkv
来世今生,http://em.21dtv.com/songs/60090804.mkv
绿色玫瑰,http://em.21dtv.com/songs/60081078.mkv
龙吐珠,http://em.21dtv.com/songs/60027843.mkv
领悟,http://em.21dtv.com/songs/60167415.mkv
乐行者,http://em.21dtv.com/songs/60091431.mkv
流行主教,http://em.21dtv.com/songs/60088090.mkv
末班车,http://em.21dtv.com/songs/60132599.mkv
马后炮先生,http://em.21dtv.com/songs/60087370.mkv
茉莉雨,http://em.21dtv.com/songs/60111193.mkv
妈妈的娜鲁娃,http://em.21dtv.com/songs/60028233.mkv
木乃伊,http://em.21dtv.com/songs/60030571.mkv
美人鱼,http://em.21dtv.com/songs/60029340.mkv
蜜思,http://em.21dtv.com/songs/60029983.mkv
陌生老朋友,http://em.21dtv.com/songs/60076749.mkv
明天,http://em.21dtv.com/songs/60030167.mkv
梦想的力量,http://em.21dtv.com/songs/60105293.mkv
梦中的新娘,http://em.21dtv.com/songs/60127098.mkv
你出现的那天,http://em.21dtv.com/songs/60127126.mkv
女儿,http://em.21dtv.com/songs/60089996.mkv
女儿家,http://em.21dtv.com/songs/60088089.mkv
女儿情,http://em.21dtv.com/songs/60131541.mkv
now that shes gone,http://em.21dtv.com/songs/60004190.mkv
你是我的唯一,http://em.21dtv.com/songs/60130477.mkv
那些你很冒险的梦,http://em.21dtv.com/songs/60064594.mkv
你要的不是我,http://em.21dtv.com/songs/60032384.mkv
你有没有过,http://em.21dtv.com/songs/60113691.mkv
one shot,http://em.21dtv.com/songs/60073710.mkv
Perfect,http://em.21dtv.com/songs/60165211.mkv
陪你走天涯,http://em.21dtv.com/songs/60033253.mkv
期待你的爱,http://em.21dtv.com/songs/60033840.mkv
千里马,http://em.21dtv.com/songs/60064707.mkv
情路走到这,http://em.21dtv.com/songs/60072313.mkv
欺骗,http://em.21dtv.com/songs/60095305.mkv
情人衫,http://em.21dtv.com/songs/60064748.mkv
情线,http://em.21dtv.com/songs/60072320.mkv
亲像一场梦(无原唱),http://em.21dtv.com/songs/60095648.mkv
七一恋歌,http://em.21dtv.com/songs/60085574.mkv
让我心动的人,http://em.21dtv.com/songs/60036181.mkv
人鱼的眼泪,http://em.21dtv.com/songs/60036471.mkv
Say Goodbye,http://em.21dtv.com/songs/60158259.mkv
十八岁的忧郁,http://em.21dtv.com/songs/60038914.mkv
三岔口,http://em.21dtv.com/songs/60077446.mkv
世界最完美遥控,http://em.21dtv.com/songs/60123659.mkv
输了你赢了世界又如何,http://em.21dtv.com/songs/60149233.mkv
十秒的冲动,http://em.21dtv.com/songs/60077602.mkv
熟能生巧,http://em.21dtv.com/songs/60039764.mkv
生生,http://em.21dtv.com/songs/60165143.mkv
莎士比亚的天份,http://em.21dtv.com/songs/60037487.mkv
水仙,http://em.21dtv.com/songs/60107825.mkv
听不懂没关系(演唱会),http://em.21dtv.com/songs/60042519.mkv
听见,http://em.21dtv.com/songs/60080635.mkv
too bad,http://em.21dtv.com/songs/60118716.mkv
突然累了,http://em.21dtv.com/songs/60042931.mkv
她说,http://em.21dtv.com/songs/60041164.mkv
天使心,http://em.21dtv.com/songs/60042067.mkv
为爱勇往,http://em.21dtv.com/songs/60072497.mkv
握不住的他,http://em.21dtv.com/songs/60047018.mkv
我的母亲,http://em.21dtv.com/songs/60061677.mkv
我的小奴隶,http://em.21dtv.com/songs/60067559.mkv
we together,http://em.21dtv.com/songs/60063790.mkv
无法克制,http://em.21dtv.com/songs/60047100.mkv
我怀念的,http://em.21dtv.com/songs/60130478.mkv
我很想爱他,http://em.21dtv.com/songs/60045575.mkv
我还想她,http://em.21dtv.com/songs/60045489.mkv
忘记,http://em.21dtv.com/songs/60043520.mkv
无尽的思念,http://em.21dtv.com/songs/60047166.mkv
我继续,http://em.21dtv.com/songs/60165073.mkv
忘了你忘了我,http://em.21dtv.com/songs/60151269.mkv
我们,http://em.21dtv.com/songs/60166285.mkv
我们的爱,http://em.21dtv.com/songs/60151801.mkv
我们的时光,http://em.21dtv.com/songs/60149751.mkv
完美新世界,http://em.21dtv.com/songs/60043140.mkv
万人宠不如一人懂,http://em.21dtv.com/songs/60148046.mkv
唯一(演唱会),http://em.21dtv.com/songs/60044176.mkv
我要去旅行,http://em.21dtv.com/songs/60080642.mkv
x,http://em.21dtv.com/songs/60006436.mkv
心爱的女王,http://em.21dtv.com/songs/60127097.mkv
学不会,http://em.21dtv.com/songs/60065294.mkv
兄弟报团打天下,http://em.21dtv.com/songs/60126032.mkv
新地球,http://em.21dtv.com/songs/60106979.mkv
消防兵之歌,http://em.21dtv.com/songs/60061755.mkv
西界,http://em.21dtv.com/songs/60047933.mkv
星空下的吻,http://em.21dtv.com/songs/60051071.mkv
修炼爱情,http://em.21dtv.com/songs/60078955.mkv
雪落下的声音,http://em.21dtv.com/songs/60165417.mkv
西来意颂,http://em.21dtv.com/songs/60085974.mkv
遐呢爱你,http://em.21dtv.com/songs/60065170.mkv
星球,http://em.21dtv.com/songs/60051096.mkv
心墙(演唱会),http://em.21dtv.com/songs/60050414.mkv
心跳跳爱动动,http://em.21dtv.com/songs/60106033.mkv
像我这样的人,http://em.21dtv.com/songs/60167707.mkv
相信无限,http://em.21dtv.com/songs/60048855.mkv
又爱又心痛,http://em.21dtv.com/songs/60072747.mkv
一个人的明天,http://em.21dtv.com/songs/60087984.mkv
一个又一个,http://em.21dtv.com/songs/60053124.mkv
一个又一个(演唱会),http://em.21dtv.com/songs/60053123.mkv
以后要做的事,http://em.21dtv.com/songs/60079954.mkv
原来,http://em.21dtv.com/songs/60051868.mkv
御龙三国志,http://em.21dtv.com/songs/60072760.mkv
有梦不难,http://em.21dtv.com/songs/60117842.mkv
因你而在,http://em.21dtv.com/songs/60079190.mkv
由你选择,http://em.21dtv.com/songs/60054972.mkv
一千年后记得我,http://em.21dtv.com/songs/60079137.mkv
一千年后记得我(演唱会),http://em.21dtv.com/songs/60084367.mkv
一千年以后,http://em.21dtv.com/songs/60148472.mkv
一起玩,http://em.21dtv.com/songs/60079135.mkv
一生的爱,http://em.21dtv.com/songs/60066524.mkv
一眼万年,http://em.21dtv.com/songs/60053809.mkv
远志,http://em.21dtv.com/songs/60169346.mkv
醉赤壁,http://em.21dtv.com/songs/60060484.mkv
真材实料的我,http://em.21dtv.com/songs/60058071.mkv
转动,http://em.21dtv.com/songs/60059434.mkv
子弹列车,http://em.21dtv.com/songs/60059611.mkv
子弹列车(演唱会),http://em.21dtv.com/songs/60059610.mkv
只对你说,http://em.21dtv.com/songs/60058400.mkv
只对你有感觉,http://em.21dtv.com/songs/60058402.mkv
中国婚礼祝福曲,http://em.21dtv.com/songs/60072809.mkv
最后的礼物,http://em.21dtv.com/songs/60087985.mkv
至少还有你,http://em.21dtv.com/songs/60147467.mkv
滋味,http://em.21dtv.com/songs/60065510.mkv
只想你快乐,http://em.21dtv.com/songs/60087369.mkv
自由不变,http://em.21dtv.com/songs/60059767.mkv
做一个大女人,http://em.21dtv.com/songs/60137799.mkv
只要有你的地方,http://em.21dtv.com/songs/60116038.mkv
知足,http://em.21dtv.com/songs/60151802.mkv

梁静茹,#genre#
爱计较,http://em.21dtv.com/songs/60007629.mkv
爱久见人心,http://em.21dtv.com/songs/60068043.mkv
爱你不是两三天,http://em.21dtv.com/songs/60007833.mkv
爱你不是两三天(演唱会),http://em.21dtv.com/songs/60007832.mkv
爱你多一点,http://em.21dtv.com/songs/60167556.mkv
爱情之所以为爱情,http://em.21dtv.com/songs/60008494.mkv
爱是,http://em.21dtv.com/songs/60008758.mkv
beautiful,http://em.21dtv.com/songs/60000511.mkv
不敢当,http://em.21dtv.com/songs/60011101.mkv
半个月亮,http://em.21dtv.com/songs/60009869.mkv
比较爱,http://em.21dtv.com/songs/60089374.mkv
布拉格广场(演唱会),http://em.21dtv.com/songs/60011825.mkv
别人的天长地久,http://em.21dtv.com/songs/60010679.mkv
不舍,http://em.21dtv.com/songs/60011349.mkv
不是我不明白,http://em.21dtv.com/songs/60107842.mkv
不想睡,http://em.21dtv.com/songs/60011477.mkv
不想睡(演唱会),http://em.21dtv.com/songs/60011475.mkv
别再为他流泪,http://em.21dtv.com/songs/60010770.mkv
崇拜,http://em.21dtv.com/songs/60012871.mkv
从不问你多爱我,http://em.21dtv.com/songs/60013497.mkv
cest la vie,http://em.21dtv.com/songs/60000886.mkv
彩虹,http://em.21dtv.com/songs/60011930.mkv
彩虹(演唱会),http://em.21dtv.com/songs/60011922.mkv
纯情艳阳天,http://em.21dtv.com/songs/60090020.mkv
纯真,http://em.21dtv.com/songs/60013402.mkv
纯真(演唱会),http://em.21dtv.com/songs/60013402.mkv
对不起我爱你,http://em.21dtv.com/songs/60015993.mkv
第三者,http://em.21dtv.com/songs/60015213.mkv
地图,http://em.21dtv.com/songs/60015119.mkv
儿歌,http://em.21dtv.com/songs/60016302.mkv
恶性循环,http://em.21dtv.com/songs/60016280.mkv
风笛手(演唱会),http://em.21dtv.com/songs/60017274.mkv
fly away,http://em.21dtv.com/songs/60001713.mkv
分手快乐,http://em.21dtv.com/songs/60017086.mkv
孤单北半球,http://em.21dtv.com/songs/60107001.mkv
关于幸福的事,http://em.21dtv.com/songs/60090019.mkv
会过去的,http://em.21dtv.com/songs/60069482.mkv
憨过头,http://em.21dtv.com/songs/60019860.mkv
呵护,http://em.21dtv.com/songs/60128140.mkv
会呼吸的痛,http://em.21dtv.com/songs/60022280.mkv
很久以后,http://em.21dtv.com/songs/60020644.mkv
海上花+滚滚红尘,http://em.21dtv.com/songs/60097941.mkv
会吸呼的痛,http://em.21dtv.com/songs/60022289.mkv
花园,http://em.21dtv.com/songs/60021543.mkv
好夜晚good night,http://em.21dtv.com/songs/60020249.mkv
i should be so lucky(演唱会),http://em.21dtv.com/songs/60002653.mkv
剪爱,http://em.21dtv.com/songs/60149914.mkv
给从前的爱,http://em.21dtv.com/songs/60018477.mkv
给还没有遇见的你,http://em.21dtv.com/songs/60119738.mkv
接受,http://em.21dtv.com/songs/60023568.mkv
接受(演唱会),http://em.21dtv.com/songs/60023567.mkv
今天情人节,http://em.21dtv.com/songs/60023862.mkv
给未来的自己,http://em.21dtv.com/songs/60018528.mkv
给自己的爱,http://em.21dtv.com/songs/60018600.mkv
看海计划,http://em.21dtv.com/songs/60025073.mkv
可乐戒指(演唱会),http://em.21dtv.com/songs/60025306.mkv
可惜不是你,http://em.21dtv.com/songs/60025339.mkv
路,http://em.21dtv.com/songs/60027919.mkv
la la la la,http://em.21dtv.com/songs/60003232.mkv
l i e,http://em.21dtv.com/songs/60003225.mkv
浪漫心愿,http://em.21dtv.com/songs/60026249.mkv
两难,http://em.21dtv.com/songs/60147490.mkv
另人的天长地久,http://em.21dtv.com/songs/60088146.mkv
恋着多喜欢,http://em.21dtv.com/songs/60027155.mkv
秒的堂,http://em.21dtv.com/songs/60088149.mkv
秘果,http://em.21dtv.com/songs/60138885.mkv
迷路,http://em.21dtv.com/songs/60083414.mkv
茉莉花,http://em.21dtv.com/songs/60030392.mkv
美丽人生,http://em.21dtv.com/songs/60029265.mkv
满满的都是爱,http://em.21dtv.com/songs/60028523.mkv
慢慢来比较快,http://em.21dtv.com/songs/60062623.mkv
明天的微笑,http://em.21dtv.com/songs/60030178.mkv
每天第一件事,http://em.21dtv.com/songs/60029059.mkv
明天我要嫁给你(演唱会),http://em.21dtv.com/songs/60030212.mkv
梦醒时分(演唱会),http://em.21dtv.com/songs/60029717.mkv
没有如果,http://em.21dtv.com/songs/60028881.mkv
没有人像你,http://em.21dtv.com/songs/60076589.mkv
你,http://em.21dtv.com/songs/60031368.mkv
闹点情绪,http://em.21dtv.com/songs/60090021.mkv
你会不会,http://em.21dtv.com/songs/60031801.mkv
南海姑娘(演唱会),http://em.21dtv.com/songs/60031107.mkv
你还在不在,http://em.21dtv.com/songs/60031754.mkv
暖暖,http://em.21dtv.com/songs/60032799.mkv
宁夏,http://em.21dtv.com/songs/60032693.mkv
宁夏(演唱会),http://em.21dtv.com/songs/60032692.mkv
偶阵雨,http://em.21dtv.com/songs/60068555.mkv
秋蝉,http://em.21dtv.com/songs/60035642.mkv
期待(演唱会),http://em.21dtv.com/songs/60033820.mkv
情歌,http://em.21dtv.com/songs/60034992.mkv
情歌没有告诉你,http://em.21dtv.com/songs/60035004.mkv
亲亲,http://em.21dtv.com/songs/60034579.mkv
其实,http://em.21dtv.com/songs/60033867.mkv
如果冰箱会说话,http://em.21dtv.com/songs/60036775.mkv
如果回到最初,http://em.21dtv.com/songs/60036803.mkv
如果没有,http://em.21dtv.com/songs/60036817.mkv
如果能在一起,http://em.21dtv.com/songs/60036844.mkv
如果有一天,http://em.21dtv.com/songs/60036970.mkv
如果有一天(演唱会),http://em.21dtv.com/songs/60036968.mkv
三寸日光(演唱会),http://em.21dtv.com/songs/60037182.mkv
shanghai memories of 1945(演唱会),http://em.21dtv.com/songs/60004946.mkv
丝路,http://em.21dtv.com/songs/60040452.mkv
闪亮的星,http://em.21dtv.com/songs/60037729.mkv
生命中不可承受的轻,http://em.21dtv.com/songs/60038590.mkv
是你,http://em.21dtv.com/songs/60039445.mkv
失去了方向,http://em.21dtv.com/songs/60038825.mkv
瘦瘦的,http://em.21dtv.com/songs/60039730.mkv
属于,http://em.21dtv.com/songs/60038844.mkv
她,http://em.21dtv.com/songs/60083861.mkv
听不到,http://em.21dtv.com/songs/60042512.mkv
听不到(演唱会),http://em.21dtv.com/songs/60042511.mkv
天灯,http://em.21dtv.com/songs/60041783.mkv
tiffany,http://em.21dtv.com/songs/60005797.mkv
问,http://vodcdn.video.taobao.com/oss/ali-video/b2a2adf565e97d00d1bd6d62145184d1/video.m3u8
问(演唱会),http://em.21dtv.com/songs/60044437.mkv
我爱你,http://em.21dtv.com/songs/60044610.mkv
我不害怕,http://em.21dtv.com/songs/60044764.mkv
我不快乐,http://em.21dtv.com/songs/60044788.mkv
我都知道,http://em.21dtv.com/songs/60045394.mkv
我都知道(演唱会),http://em.21dtv.com/songs/60045393.mkv
我还记得,http://em.21dtv.com/songs/60045463.mkv
我和自己的约会,http://em.21dtv.com/songs/60045551.mkv
无解,http://em.21dtv.com/songs/60047159.mkv
我决定,http://em.21dtv.com/songs/60045670.mkv
我就知道那是爱,http://em.21dtv.com/songs/60143618.mkv
苿莉花,http://em.21dtv.com/songs/60044308.mkv
我们就到这,http://em.21dtv.com/songs/60045902.mkv
为你而:p,http://em.21dtv.com/songs/60043964.mkv
为情之所以为爱情,http://em.21dtv.com/songs/60044045.mkv
温柔,http://em.21dtv.com/songs/60112812.mkv
我如何让你改变,http://em.21dtv.com/songs/60091527.mkv
我是幸福的,http://em.21dtv.com/songs/60046185.mkv
我是真的爱你(演唱会),http://em.21dtv.com/songs/60046219.mkv
无条件为你,http://em.21dtv.com/songs/60047460.mkv
娃娃,http://em.21dtv.com/songs/60106044.mkv
为我好,http://em.21dtv.com/songs/60044125.mkv
我喜欢,http://em.21dtv.com/songs/60046347.mkv
序,http://em.21dtv.com/songs/60051572.mkv
小爱情,http://em.21dtv.com/songs/60068841.mkv
新的答案,http://em.21dtv.com/songs/60050813.mkv
想都没想过,http://em.21dtv.com/songs/60168354.mkv
幸福的感觉,http://em.21dtv.com/songs/60091525.mkv
幸福的权利,http://em.21dtv.com/songs/60091526.mkv
幸福的预感,http://em.21dtv.com/songs/60051296.mkv
幸福洋果子店(演唱会),http://em.21dtv.com/songs/60051387.mkv
绣花,http://em.21dtv.com/songs/60078957.mkv
小明过圣诞(演唱会),http://em.21dtv.com/songs/60078698.mkv
小明去澳洲,http://em.21dtv.com/songs/60078699.mkv
小明去拜年,http://em.21dtv.com/songs/60049664.mkv
小明去东莞,http://em.21dtv.com/songs/60078700.mkv
小明上方舟,http://em.21dtv.com/songs/60062595.mkv
小明上广州,http://em.21dtv.com/songs/60049665.mkv
小明做特首,http://em.21dtv.com/songs/60066473.mkv
星期天,http://em.21dtv.com/songs/60051087.mkv
小手拉大手,http://em.21dtv.com/songs/60049748.mkv
小小的爱情,http://em.21dtv.com/songs/60049799.mkv
喜悦,http://em.21dtv.com/songs/60048190.mkv
下一秒钟,http://em.21dtv.com/songs/60048319.mkv
向左转向右转,http://em.21dtv.com/songs/60049364.mkv
一百零一,http://em.21dtv.com/songs/60052727.mkv
一对一,http://em.21dtv.com/songs/60052890.mkv
诱惑的街,http://em.21dtv.com/songs/60079318.mkv
用力抱着,http://em.21dtv.com/songs/60054873.mkv
蔚蓝海岸,http://em.21dtv.com/songs/60102412.mkv
一路两个人,http://em.21dtv.com/songs/60070144.mkv
原来你也唱过我的歌(演唱会),http://em.21dtv.com/songs/60055956.mkv
一秒的天堂,http://em.21dtv.com/songs/60053307.mkv
有你在,http://em.21dtv.com/songs/60055248.mkv
勇气,http://em.21dtv.com/songs/60054858.mkv
燕尾蝶,http://em.21dtv.com/songs/60052141.mkv
因为还是会,http://em.21dtv.com/songs/60054233.mkv
夜夜夜夜(演唱会),http://em.21dtv.com/songs/60052687.mkv
一夜长大,http://em.21dtv.com/songs/60053839.mkv
一夜长大(演唱会),http://em.21dtv.com/songs/60053838.mkv
在爱里等你,http://em.21dtv.com/songs/60107843.mkv
找个人,http://em.21dtv.com/songs/60057678.mkv
最后警告,http://em.21dtv.com/songs/60091529.mkv
最后一次争执,http://em.21dtv.com/songs/60091528.mkv
直觉,http://em.21dtv.com/songs/60058970.mkv
最快乐那一年,http://em.21dtv.com/songs/60060353.mkv
最烂的理由,http://em.21dtv.com/songs/60060354.mkv
怎么说(演唱会),http://em.21dtv.com/songs/60057380.mkv
转圈圈(演唱会),http://em.21dtv.com/songs/60059442.mkv
昨日情书(演唱会),http://em.21dtv.com/songs/60060570.mkv
掌声响起(演唱会),http://em.21dtv.com/songs/60057629.mkv
掌声响起来,http://em.21dtv.com/songs/60088147.mkv
昨天,http://em.21dtv.com/songs/60060572.mkv
最想环游的世界,http://em.21dtv.com/songs/60060427.mkv
最想环游的世界(演唱会),http://em.21dtv.com/songs/60060426.mkv
最想环游世界,http://em.21dtv.com/songs/60088148.mkv
这一天(演唱会),http://em.21dtv.com/songs/60057947.mkv

李克勤,#genre#
爱不释手,http://em.21dtv.com/songs/60007019.mkv
爱不释手(演唱会),http://em.21dtv.com/songs/60007017.mkv
爱的逃兵,http://em.21dtv.com/songs/60114592.mkv
爱可以问谁,http://em.21dtv.com/songs/60007674.mkv
阿李爸爸,http://em.21dtv.com/songs/60006761.mkv
爱您不需要理由,http://em.21dtv.com/songs/60092795.mkv
爱情笑话,http://em.21dtv.com/songs/60164741.mkv
爱是永恒,http://em.21dtv.com/songs/60120607.mkv
爱下去(演唱会),http://em.21dtv.com/songs/60008973.mkv
爱一个人(演唱会),http://em.21dtv.com/songs/60009037.mkv
抱抱(演唱会),http://em.21dtv.com/songs/60010054.mkv
不必对我好,http://em.21dtv.com/songs/60010995.mkv
别把幸福遗忘,http://em.21dtv.com/songs/60065849.mkv
不懂温柔,http://em.21dtv.com/songs/60011053.mkv
北京北角,http://em.21dtv.com/songs/60104194.mkv
不知不觉爱上你,http://em.21dtv.com/songs/60011787.mkv
不知不觉爱上你(演唱会),http://em.21dtv.com/songs/60011786.mkv
C3PO,http://em.21dtv.com/songs/60133792.mkv
丑八怪,http://em.21dtv.com/songs/60119650.mkv
啜泣(演唱会),http://em.21dtv.com/songs/60013422.mkv
此情此境(无原唱),http://em.21dtv.com/songs/60092794.mkv
痴情意外,http://em.21dtv.com/songs/60125695.mkv
菜汤,http://em.21dtv.com/songs/60011983.mkv
常在你左右,http://em.21dtv.com/songs/60012282.mkv
等(演唱会),http://em.21dtv.com/songs/60014837.mkv
等爱的人,http://em.21dtv.com/songs/60113616.mkv
单车,http://em.21dtv.com/songs/60118660.mkv
大富翁(演唱会),http://em.21dtv.com/songs/60075052.mkv
大会堂演奏厅(演唱会),http://em.21dtv.com/songs/60013987.mkv
妒忌,http://em.21dtv.com/songs/60015877.mkv
冬暖夏凉,http://em.21dtv.com/songs/60015590.mkv
冬暖夏凉(演唱会),http://em.21dtv.com/songs/60015589.mkv
等你愿意,http://em.21dtv.com/songs/60015019.mkv
大时代(演唱会),http://em.21dtv.com/songs/60014127.mkv
单身狗,http://em.21dtv.com/songs/60158196.mkv
当我知道你们相爱,http://em.21dtv.com/songs/60118661.mkv
当找到你,http://em.21dtv.com/songs/60014653.mkv
当找到你(演唱会),http://em.21dtv.com/songs/60014652.mkv
大丈夫(演唱会),http://em.21dtv.com/songs/60014227.mkv
儿女私情,http://em.21dtv.com/songs/60016309.mkv
二十四城记,http://em.21dtv.com/songs/60016392.mkv
放飞机,http://em.21dtv.com/songs/60075310.mkv
飞花,http://em.21dtv.com/songs/60016812.mkv
飞花(演唱会),http://em.21dtv.com/songs/60016810.mkv
风继续吹,http://em.21dtv.com/songs/60119652.mkv
富士山下,http://em.21dtv.com/songs/60112744.mkv
风雨夜归人(无原唱),http://em.21dtv.com/songs/60017431.mkv
告别校园时(演唱会),http://em.21dtv.com/songs/60018281.mkv
高妹,http://em.21dtv.com/songs/60018209.mkv
高妹(演唱会),http://em.21dtv.com/songs/60018208.mkv
goodbye(演唱会),http://em.21dtv.com/songs/60073287.mkv
观音兵,http://em.21dtv.com/songs/60092799.mkv
公主太子,http://em.21dtv.com/songs/60018712.mkv
公主太子(演唱会),http://em.21dtv.com/songs/60018711.mkv
何尝愿意(无原唱),http://em.21dtv.com/songs/60020340.mkv
灰姑娘,http://em.21dtv.com/songs/60022022.mkv
后悔,http://em.21dtv.com/songs/60021079.mkv
